"year","chron","tmean.aug","pdsi.sep","tmin.may","pcp.aug","fire","site"
1895,1.024,8.768000603,-1.31,-5.449999809,17.23600006,0,"BTP"
1896,1.079,9.389000893,-2.39,-5.097000122,28.85000038,0,"BTP"
1897,1.071,11.62500095,-3.21,-1.143000007,11.73600006,0,"BTP"
1898,1.066,9.591000557,-2.06,-4.43200016,15.1590004,0,"BTP"
1899,0.914,7.136000156,-2.44,-5.757999897,40.43899918,0,"BTP"
1900,1.005,8.102000237,-5.05,-4.304999828,21.15999985,1,"BTP"
1901,1.029,10.25300026,-1.64,-2.049999952,25.35700035,0,"BTP"
1902,1.017,7.210000515,-3.1,-3.878999949,12.11200047,0,"BTP"
1903,1.032,8,-1.64,-6.989999771,16.54700089,0,"BTP"
1904,1.008,7.964000225,-1.66,-6.053999901,39.70899963,0,"BTP"
1905,0.987,9.324000359,-1.22,-6.822000027,30.37999916,0,"BTP"
1906,0.971,7.346000195,1.32,-4.131999969,67.4489975,0,"BTP"
1907,0.939,7.567000389,2.68,-8.029000282,66.27700043,0,"BTP"
1908,0.972,6.605000496,2.29,-5.236000061,46.75699997,0,"BTP"
1909,0.967,9.463000298,1.26,-6.118999958,36.87200165,0,"BTP"
1910,0.981,6.345000267,-2.45,-6.515999794,19.22400093,0,"BTP"
1911,0.985,5.765000343,0.15,-6.288000107,23.44300079,0,"BTP"
1912,0.963,6.392000198,2.17,-6.540999889,50.56100082,0,"BTP"
1913,0.963,8.155000687,1.06,-6.350999832,20.73500061,0,"BTP"
1914,0.996,7.956000328,-0.93,-6.918000221,9.44699955,0,"BTP"
1915,0.884,8.327000618,4.15,-7.027999878,62.94300079,0,"BTP"
1916,0.95,7.734000206,1.87,-5.797999859,37.14400101,0,"BTP"
1917,0.891,7.710000515,-1.13,-6.644999981,15.93799973,0,"BTP"
1918,0.903,7.461000443,1.2,-6.915999889,41.2519989,0,"BTP"
1919,1.024,9.850000381,-5.21,-5.544000149,11.43000031,0,"BTP"
1920,1.03,8.411000252,-1.22,-6.132999897,48.79700089,0,"BTP"
1921,1.028,8.379000664,-1.92,-5.811999798,32.17499924,0,"BTP"
1922,1.022,11.19100094,0.59,-2.776000023,52.27000046,0,"BTP"
1923,0.991,8.163000107,2.12,-5.394999981,58.52899933,0,"BTP"
1924,1.02,8.094000816,-1.13,-6.145999908,25.91600037,0,"BTP"
1925,1.006,8.440999985,1.05,-4.671000004,45.09600067,0,"BTP"
1926,1.01,9.938000679,-0.56,-1.565000057,80.95899963,0,"BTP"
1927,0.931,7.215000153,2.43,-6.500999928,60.67200089,0,"BTP"
1928,1.016,7.813000202,1.31,-0.658999979,40.99300003,0,"BTP"
1929,1.042,11.19000053,-1.12,-7.340000153,33.31299973,0,"BTP"
1930,1.035,11.08600044,-2.26,-5.652999878,101.9440002,0,"BTP"
1931,1.05,9.49200058,-4.01,-5.214000225,31.12000084,0,"BTP"
1932,1.067,9.693000793,-1.64,-2.197999954,47.10100174,0,"BTP"
1933,1.089,8.503000259,-2.43,-5.988999844,72.93699646,0,"BTP"
1934,1.069,9.344000816,-3.18,-2.236999989,21.01199913,0,"BTP"
