year,chron,tmean.aug,pdsi.sep,tmin.may,pcp.aug
1620,1.013,,,,
1621,0.934,,,,
1622,0.999,,,,
1623,0.969,,,,
1624,0.943,,,,
1625,1.018,,,,
1626,1.002,,,,
1627,0.916,,,,
1628,0.953,,,,
1629,0.936,,,,
1630,0.967,,,,
1631,0.978,,,,
1632,0.996,,,,
1633,0.987,,,,
1634,1.036,,,,
1635,0.97,,,,
1636,1.024,,,,
1637,0.95,,,,
1638,0.987,,,,
1639,0.987,,,,
1640,0.983,,,,
1641,0.909,,,,
1642,0.929,,,,
1643,0.947,,,,
1644,0.909,,,,
1645,0.933,,,,
1646,0.909,,,,
1647,0.967,,,,
1648,0.926,,,,
1649,0.998,,,,
1650,0.99,,,,
1651,0.979,,,,
1652,1.031,,,,
1653,0.991,,,,
1654,0.992,,,,
1655,1.017,,,,
1656,0.967,,,,
1657,0.977,,,,
1658,1.009,,,,
1659,0.987,,,,
1660,0.924,,,,
1661,0.942,,,,
1662,0.936,,,,
1663,0.966,,,,
1664,0.998,,,,
1665,1.018,,,,
1666,0.966,,,,
1667,0.965,,,,
1668,1.029,,,,
1669,0.974,,,,
1670,0.95,,,,
1671,0.998,,,,
1672,0.992,,,,
1673,0.981,,,,
1674,0.988,,,,
1675,1.018,,,,
1676,0.991,,,,
1677,0.948,,,,
1678,0.989,,,,
1679,0.962,,,,
1680,0.965,,,,
1681,0.953,,,,
1682,0.989,,,,
1683,0.997,,,,
1684,0.991,,,,
1685,0.974,,,,
1686,0.989,,,,
1687,1.007,,,,
1688,1.018,,,,
1689,1.035,,,,
1690,1.031,,,,
1691,0.983,,,,
1692,1.013,,,,
1693,1.009,,,,
1694,1.01,,,,
1695,0.961,,,,
1696,1.02,,,,
1697,1.051,,,,
1698,0.956,,,,
1699,0.977,,,,
1700,0.946,,,,
1701,1.024,,,,
1702,0.929,,,,
1703,1.008,,,,
1704,0.97,,,,
1705,0.965,,,,
1706,1.018,,,,
1707,1.034,,,,
1708,1.001,,,,
1709,0.971,,,,
1710,1.01,,,,
1711,0.979,,,,
1712,0.991,,,,
1713,0.988,,,,
1714,0.956,,,,
1715,0.98,,,,
1716,0.966,,,,
1717,0.961,,,,
1718,1.003,,,,
1719,1.049,,,,
1720,1.037,,,,
1721,1.039,,,,
1722,1.031,,,,
1723,1.001,,,,
1724,1.073,,,,
1725,0.991,,,,
1726,1.049,,,,
1727,0.904,,,,
1728,1.03,,,,
1729,1.038,,,,
1730,1.04,,,,
1731,1.049,,,,
1732,1.029,,,,
1733,0.973,,,,
1734,0.957,,,,
1735,0.966,,,,
1736,0.949,,,,
1737,1.014,,,,
1738,0.984,,,,
1739,1.036,,,,
1740,0.954,,,,
1741,1.038,,,,
1742,1.034,,,,
1743,1.028,,,,
1744,1.015,,,,
1745,0.974,,,,
1746,0.981,,,,
1747,0.962,,,,
1748,0.976,,,,
1749,0.994,,,,
1750,1.038,,,,
1751,1.091,,,,
1752,1.002,,,,
1753,1.113,,,,
1754,1.048,,,,
1755,1.005,,,,
1756,1.1,,,,
1757,1.074,,,,
1758,1.035,,,,
1759,1.111,,,,
1760,1.061,,,,
1761,1.086,,,,
1762,1.151,,,,
1763,1.056,,,,
1764,1.01,,,,
1765,1.011,,,,
1766,0.993,,,,
1767,0.966,,,,
1768,1.048,,,,
1769,1.013,,,,
1770,1.023,,,,
1771,1.022,,,,
1772,1.051,,,,
1773,1.08,,,,
1774,1.055,,,,
1775,0.99,,,,
1776,1.016,,,,
1777,0.994,,,,
1778,1.028,,,,
1779,0.903,,,,
1780,0.989,,,,
1781,0.942,,,,
1782,0.903,,,,
1783,0.943,,,,
1784,0.957,,,,
1785,1.011,,,,
1786,1.024,,,,
1787,0.939,,,,
1788,1.017,,,,
1789,0.979,,,,
1790,1.001,,,,
1791,0.945,,,,
1792,1.025,,,,
1793,1.006,,,,
1794,1.072,,,,
1795,1.099,,,,
1796,1,,,,
1797,0.986,,,,
1798,1.039,,,,
1799,1.034,,,,
1800,1.031,,,,
1801,1.011,,,,
1802,1.027,,,,
1803,0.996,,,,
1804,1.043,,,,
1805,0.997,,,,
1806,0.986,,,,
1807,1.018,,,,
1808,1.081,,,,
1809,0.963,,,,
1810,0.978,,,,
1811,0.992,,,,
1812,0.981,,,,
1813,0.932,,,,
1814,0.958,,,,
1815,0.927,,,,
1816,1.004,,,,
1817,0.967,,,,
1818,0.948,,,,
1819,0.953,,,,
1820,0.895,,,,
1821,0.955,,,,
1822,0.906,,,,
1823,0.958,,,,
1824,0.959,,,,
1825,0.985,,,,
1826,0.952,,,,
1827,0.949,,,,
1828,0.943,,,,
1829,0.991,,,,
1830,1.006,,,,
1831,1.053,,,,
1832,0.938,,,,
1833,1.021,,,,
1834,0.978,,,,
1835,0.882,,,,
1836,0.932,,,,
1837,0.941,,,,
1838,0.87,,,,
1839,0.925,,,,
1840,0.906,,,,
1841,0.906,,,,
1842,0.914,,,,
1843,0.932,,,,
1844,0.898,,,,
1845,0.928,,,,
1846,0.96,,,,
1847,0.939,,,,
1848,0.928,,,,
1849,0.924,,,,
1850,1.003,,,,
1851,0.934,,,,
1852,1.003,,,,
1853,0.984,,,,
1854,1.033,,,,
1855,1.024,,,,
1856,1.099,,,,
1857,1.007,,,,
1858,0.986,,,,
1859,0.982,,,,
1860,0.941,,,,
1861,0.997,,,,
1862,0.953,,,,
1863,1.008,,,,
1864,0.996,,,,
1865,1.004,,,,
1866,0.983,,,,
1867,0.991,,,,
1868,0.971,,,,
1869,0.986,,,,
1870,1.016,,,,
1871,0.998,,,,
1872,0.996,,,,
1873,1.033,,,,
1874,1.044,,,,
1875,0.918,,,,
1876,1.001,,,,
1877,1.013,,,,
1878,1.012,,,,
1879,0.983,,,,
1880,0.945,,,,
1881,1.046,,,,
1882,1.039,,,,
1883,0.951,,,,
1884,0.958,,,,
1885,0.939,,,,
1886,0.949,,,,
1887,0.995,,,,
1888,1,,,,
1889,1.036,,,,
1890,1.024,,,,
1891,1.008,,,,
1892,1.012,,,,
1893,1.029,,,,
1894,1.069,,,,
1895,1.024,8.768000603,-1.31,-5.449999809,17.23600006
1896,1.079,9.389000893,-2.39,-5.097000122,28.85000038
1897,1.071,11.62500095,-3.21,-1.143000007,11.73600006
1898,1.066,9.591000557,-2.06,-4.43200016,15.1590004
1899,0.914,7.136000156,-2.44,-5.757999897,40.43899918
1900,1.005,8.102000237,-5.05,-4.304999828,21.15999985
1901,1.029,10.25300026,-1.64,-2.049999952,25.35700035
1902,1.017,7.210000515,-3.1,-3.878999949,12.11200047
1903,1.032,8,-1.64,-6.989999771,16.54700089
1904,1.008,7.964000225,-1.66,-6.053999901,39.70899963
1905,0.987,9.324000359,-1.22,-6.822000027,30.37999916
1906,0.971,7.346000195,1.32,-4.131999969,67.4489975
1907,0.939,7.567000389,2.68,-8.029000282,66.27700043
1908,0.972,6.605000496,2.29,-5.236000061,46.75699997
1909,0.967,9.463000298,1.26,-6.118999958,36.87200165
1910,0.981,6.345000267,-2.45,-6.515999794,19.22400093
1911,0.985,5.765000343,0.15,-6.288000107,23.44300079
1912,0.963,6.392000198,2.17,-6.540999889,50.56100082
1913,0.963,8.155000687,1.06,-6.350999832,20.73500061
1914,0.996,7.956000328,-0.93,-6.918000221,9.44699955
1915,0.884,8.327000618,4.15,-7.027999878,62.94300079
1916,0.95,7.734000206,1.87,-5.797999859,37.14400101
1917,0.891,7.710000515,-1.13,-6.644999981,15.93799973
1918,0.903,7.461000443,1.2,-6.915999889,41.2519989
1919,1.024,9.850000381,-5.21,-5.544000149,11.43000031
1920,1.03,8.411000252,-1.22,-6.132999897,48.79700089
1921,1.028,8.379000664,-1.92,-5.811999798,32.17499924
1922,1.022,11.19100094,0.59,-2.776000023,52.27000046
1923,0.991,8.163000107,2.12,-5.394999981,58.52899933
1924,1.02,8.094000816,-1.13,-6.145999908,25.91600037
1925,1.006,8.440999985,1.05,-4.671000004,45.09600067
1926,1.01,9.938000679,-0.56,-1.565000057,80.95899963
1927,0.931,7.215000153,2.43,-6.500999928,60.67200089
1928,1.016,7.813000202,1.31,-0.658999979,40.99300003
1929,1.042,11.19000053,-1.12,-7.340000153,33.31299973
1930,1.035,11.08600044,-2.26,-5.652999878,101.9440002
1931,1.05,9.49200058,-4.01,-5.214000225,31.12000084
1932,1.067,9.693000793,-1.64,-2.197999954,47.10100174
1933,1.089,8.503000259,-2.43,-5.988999844,72.93699646
1934,1.069,9.344000816,-3.18,-2.236999989,21.01199913
1935,1.07,9.484000206,-3.64,-3.852999926,24.20999908
1936,1.077,11.47300053,-3.99,-0.177000001,57.5929985
1937,1.069,10.39800072,-2.5,-1.416000009,13.63000011
1938,1.074,9.026000023,1.21,-5.605000019,51.01300049
1939,1.094,9.537000656,-1.91,-0.827000022,32.9980011
1940,1.087,10.72600079,-1.64,-4.211999893,25.40999985
1941,1.016,9.023000717,2.76,-3.855000019,97.30699921
1942,1.042,8.785000801,0.82,-6.620999813,24.9090004
1943,1.036,9.774000168,1.39,-6.657999992,50.67200089
1944,1.024,9.251000404,2.24,-4.415999889,16.16300011
1945,1.032,8.329999924,2.36,-5.931000233,78.1780014
1946,1.085,8.768000603,0.41,-3.578999996,22.13299942
1947,1.064,9.574000359,0.73,-4.579999924,48.45299911
1948,1.056,10.43800068,0.65,-2.08100009,38.61500168
1949,1.114,11.53800011,-0.86,-2.819999933,19.69300079
1950,1.051,8.840000153,3.27,-7.47300005,27.6590004
1951,0.945,8.61700058,4.13,-3.927999973,67.74900055
1952,1.034,10.29900074,1.95,-4.09499979,55.52899933
1953,1.021,10.85800076,-1.15,-5.920000076,49.0719986
1954,0.998,9.558000565,-1.47,-4.513999939,32.96900177
1955,1.037,12.1050005,-0.28,-3.571000099,25.60099983
1956,1.02,8.890000343,1.05,-2.710000038,31.72999954
1957,1.048,10.74000072,4.38,-3.753999949,32.35599899
1958,1.023,10.71600056,2.27,-0.55400002,50.47999954
1959,1.004,9.702000618,0.9,-6.81799984,25.69599915
1960,1.022,8.568000793,-2.92,-4.633999825,62.3429985
1961,1.02,12.03100014,-1.42,-4.090000153,57.31100082
1962,1.003,8.75,3.29,-4.452000141,65.3730011
1963,1.026,10.59700012,1.73,-3.696000099,12.79100037
1964,0.995,8.522000313,1.32,-3.953999996,47.50999832
1965,0.987,8.407000542,5.01,-5.059000015,52.85599899
1966,1.004,9.523000717,-1.02,-2.082000017,48.29600143
1967,1.01,10.88300037,2.52,-5.514999866,16.9109993
1968,0.849,7.349000454,4.08,-6.334000111,99.33999634
1969,1,12.53300095,1.2,-2.921999931,16.00499916
1970,0.956,12.36200047,2.31,-4.729000092,32.06900024
1971,0.973,12.84300041,2.15,-4.473999977,43.24000168
1972,0.964,10.01300049,3.65,-4.859000206,58.9280014
1973,0.985,10.27000046,-0.61,-5.894999981,42.03900146
1974,0.949,7.1510005,2.45,-6.43900013,71.91100311
1975,0.922,7.593000412,3.12,-7.040999889,41.2179985
1976,0.989,8.629000664,3.39,-3.739000082,34.47100067
1977,1.013,7.872000217,-2.86,-4.494999886,70.17199707
1978,0.95,8.293000221,2.79,-5.803999901,15.66399956
1979,0.977,9.758000374,-2.13,-5.114999771,69.09200287
1980,0.999,7.456000328,1.47,-2.927000046,49.10300064
1981,1.015,11.06100082,-1.36,-3.982000113,24.14500046
1982,1.009,11.25800037,3.06,-5.994999886,51.22800064
1983,1.02,11.60100079,1.89,-7.125,41.23600006
