year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
1620,1.365,,,,,,,,,,,
1621,1.166,,,,,,,,,,,
1622,1.329,,,,,,,,,,,
1623,1.252,,,,,,,,,,,
1624,1.186,,,,,,,,,,,
1625,1.374,,,,,,,,,,,
1626,1.333,,,,,,,,,,,
1627,1.186,,,,,,,,,,,
1628,1.257,,,,,,,,,,,
1629,1.22,,,,,,,,,,,
1630,1.282,,,,,,,,,,,
1631,1.3,,,,,,,,,,,
1632,1.336,,,,,,,,,,,
1633,1.316,,,,,,,,,,,
1634,1.413,,,,,,,,,,,
1635,1.284,,,,,,,,,,,
1636,1.385,,,,,,,,,,,
1637,1.243,,,,,,,,,,,
1638,1.315,,,,,,,,,,,
1639,1.313,,,,,,,,,,,
1640,1.303,,,,,,,,,,,
1641,1.162,,,,,,,,,,,
1642,1.197,,,,,,,,,,,
1643,1.231,,,,,,,,,,,
1644,1.158,,,,,,,,,,,
1645,1.204,,,,,,,,,,,
1646,1.16,,,,,,,,,,,
1647,1.269,,,,,,,,,,,
1648,1.191,,,,,,,,,,,
1649,1.327,,,,,,,,,,,
1650,1.311,,,,,,,,,,,
1651,1.289,,,,,,,,,,,
1652,1.386,,,,,,,,,,,
1653,1.308,,,,,,,,,,,
1654,1.309,,,,,,,,,,,
1655,1.358,,,,,,,,,,,
1656,1.262,,,,,,,,,,,
1657,1.28,,,,,,,,,,,
1658,1.34,,,,,,,,,,,
1659,1.299,,,,,,,,,,,
1660,1.178,,,,,,,,,,,
1661,1.212,,,,,,,,,,,
1662,1.2,,,,,,,,,,,
1663,1.254,,,,,,,,,,,
1664,1.314,,,,,,,,,,,
1665,1.234,,,,,,,,,,,
1666,1.19,,,,,,,,,,,
1667,1.201,,,,,,,,,,,
1668,1.287,,,,,,,,,,,
1669,1.21,,,,,,,,,,,
1670,1.169,,,,,,,,,,,
1671,1.237,,,,,,,,,,,
1672,1.22,,,,,,,,,,,
1673,1.194,,,,,,,,,,,
1674,1.246,,,,,,,,,,,
1675,1.289,,,,,,,,,,,
1676,1.216,,,,,,,,,,,
1677,1.145,,,,,,,,,,,
1678,1.179,,,,,,,,,,,
1679,1.15,,,,,,,,,,,
1680,1.158,,,,,,,,,,,
1681,1.16,,,,,,,,,,,
1682,1.212,,,,,,,,,,,
1683,1.221,,,,,,,,,,,
1684,1.223,,,,,,,,,,,
1685,1.194,,,,,,,,,,,
1686,1.192,,,,,,,,,,,
1687,1.202,,,,,,,,,,,
1688,1.212,,,,,,,,,,,
1689,1.281,,,,,,,,,,,
1690,1.283,,,,,,,,,,,
1691,1.213,,,,,,,,,,,
1692,1.216,,,,,,,,,,,
1693,1.234,,,,,,,,,,,
1694,1.234,,,,,,,,,,,
1695,1.151,,,,,,,,,,,
1696,1.227,,,,,,,,,,,
1697,1.286,,,,,,,,,,,
1698,1.125,,,,,,,,,,,
1699,1.152,,,,,,,,,,,
1700,1.119,,,,,,,,,,,
1701,1.183,,,,,,,,,,,
1702,1.066,,,,,,,,,,,
1703,1.119,,,,,,,,,,,
1704,1.144,,,,,,,,,,,
1705,1.136,,,,,,,,,,,
1706,1.207,,,,,,,,,,,
1707,1.227,,,,,,,,,,,
1708,1.182,,,,,,,,,,,
1709,1.153,,,,,,,,,,,
1710,1.212,,,,,,,,,,,
1711,1.141,,,,,,,,,,,
1712,1.157,,,,,,,,,,,
1713,1.177,,,,,,,,,,,
1714,1.119,,,,,,,,,,,
1715,1.137,,,,,,,,,,,
1716,1.055,,,,,,,,,,,
1717,1.114,,,,,,,,,,,
1718,1.174,,,,,,,,,,,
1719,1.233,,,,,,,,,,,
1720,1.213,,,,,,,,,,,
1721,1.214,,,,,,,,,,,
1722,1.215,,,,,,,,,,,
1723,1.172,,,,,,,,,,,
1724,1.27,,,,,,,,,,,
1725,1.152,,,,,,,,,,,
1726,1.205,,,,,,,,,,,
1727,1.034,,,,,,,,,,,
1728,1.186,,,,,,,,,,,
1729,1.213,,,,,,,,,,,
1730,1.218,,,,,,,,,,,
1731,1.194,,,,,,,,,,,
1732,1.191,,,,,,,,,,,
1733,1.166,,,,,,,,,,,
1734,1.105,,,,,,,,,,,
1735,1.113,,,,,,,,,,,
1736,1.109,,,,,,,,,,,
1737,1.166,,,,,,,,,,,
1738,1.102,,,,,,,,,,,
1739,1.217,,,,,,,,,,,
1740,1.131,,,,,,,,,,,
1741,1.146,,,,,,,,,,,
1742,1.211,,,,,,,,,,,
1743,1.175,,,,,,,,,,,
1744,1.151,,,,,,,,,,,
1745,1.09,,,,,,,,,,,
1746,1.031,,,,,,,,,,,
1747,1.023,,,,,,,,,,,
1748,1.127,,,,,,,,,,,
1749,1.164,,,,,,,,,,,
1750,1.2,,,,,,,,,,,
1751,1.297,,,,,,,,,,,
1752,1.172,,,,,,,,,,,
1753,1.282,,,,,,,,,,,
1754,1.215,,,,,,,,,,,
1755,1.146,,,,,,,,,,,
1756,1.295,,,,,,,,,,,
1757,1.24,,,,,,,,,,,
1758,1.18,,,,,,,,,,,
1759,1.286,,,,,,,,,,,
1760,1.303,,,,,,,,,,,
1761,1.316,,,,,,,,,,,
1762,1.383,,,,,,,,,,,
1763,1.251,,,,,,,,,,,
1764,1.261,,,,,,,,,,,
1765,1.294,,,,,,,,,,,
1766,1.243,,,,,,,,,,,
1767,1.233,,,,,,,,,,,
1768,1.295,,,,,,,,,,,
1769,1.267,,,,,,,,,,,
1770,1.258,,,,,,,,,,,
1771,1.256,,,,,,,,,,,
1772,1.295,,,,,,,,,,,
1773,1.314,,,,,,,,,,,
1774,1.338,,,,,,,,,,,
1775,1.266,,,,,,,,,,,
1776,1.3,,,,,,,,,,,
1777,1.247,,,,,,,,,,,
1778,1.29,,,,,,,,,,,
1779,1.124,,,,,,,,,,,
1780,1.246,,,,,,,,,,,
1781,1.234,,,,,,,,,,,
1782,1.14,,,,,,,,,,,
1783,1.188,,,,,,,,,,,
1784,1.191,,,,,,,,,,,
1785,1.257,,,,,,,,,,,
1786,1.277,,,,,,,,,,,
1787,1.189,,,,,,,,,,,
1788,1.254,,,,,,,,,,,
1789,1.218,,,,,,,,,,,
1790,1.23,,,,,,,,,,,
1791,1.172,,,,,,,,,,,
1792,1.268,,,,,,,,,,,
1793,1.254,,,,,,,,,,,
1794,1.315,,,,,,,,,,,
1795,1.309,,,,,,,,,,,
1796,1.247,,,,,,,,,,,
1797,1.217,,,,,,,,,,,
1798,1.273,,,,,,,,,,,
1799,1.261,,,,,,,,,,,
1800,1.257,,,,,,,,,,,
1801,1.241,,,,,,,,,,,
1802,1.255,,,,,,,,,,,
1803,1.219,,,,,,,,,,,
1804,1.267,,,,,,,,,,,
1805,1.211,,,,,,,,,,,
1806,1.205,,,,,,,,,,,
1807,1.236,,,,,,,,,,,
1808,1.309,,,,,,,,,,,
1809,1.167,,,,,,,,,,,
1810,1.19,,,,,,,,,,,
1811,1.205,,,,,,,,,,,
1812,1.197,,,,,,,,,,,
1813,1.149,,,,,,,,,,,
1814,1.166,,,,,,,,,,,
1815,1.135,,,,,,,,,,,
1816,1.19,,,,,,,,,,,
1817,1.15,,,,,,,,,,,
1818,1.15,,,,,,,,,,,
1819,1.152,,,,,,,,,,,
1820,1.093,,,,,,,,,,,
1821,1.153,,,,,,,,,,,
1822,1.128,,,,,,,,,,,
1823,1.17,,,,,,,,,,,
1824,1.185,,,,,,,,,,,
1825,1.189,,,,,,,,,,,
1826,1.147,,,,,,,,,,,
1827,1.184,,,,,,,,,,,
1828,1.146,,,,,,,,,,,
1829,1.199,,,,,,,,,,,
1830,1.21,,,,,,,,,,,
1831,1.272,,,,,,,,,,,
1832,1.139,,,,,,,,,,,
1833,1.204,,,,,,,,,,,
1834,1.176,,,,,,,,,,,
1835,1.038,,,,,,,,,,,
1836,1.109,,,,,,,,,,,
1837,1.135,,,,,,,,,,,
1838,1.05,,,,,,,,,,,
1839,1.116,,,,,,,,,,,
1840,1.095,,,,,,,,,,,
1841,1.108,,,,,,,,,,,
1842,1.101,,,,,,,,,,,
1843,1.13,,,,,,,,,,,
1844,1.108,,,,,,,,,,,
1845,1.147,,,,,,,,,,,
1846,1.164,,,,,,,,,,,
1847,1.135,,,,,,,,,,,
1848,1.111,,,,,,,,,,,
1849,1.098,,,,,,,,,,,
1850,1.185,,,,,,,,,,,
1851,1.121,,,,,,,,,,,
1852,1.196,,,,,,,,,,,
1853,1.167,,,,,,,,,,,
1854,1.224,,,,,,,,,,,
1855,1.229,,,,,,,,,,,
1856,1.292,,,,,,,,,,,
1857,1.221,,,,,,,,,,,
1858,1.179,,,,,,,,,,,
1859,1.155,,,,,,,,,,,
1860,1.11,,,,,,,,,,,
1861,1.194,,,,,,,,,,,
1862,1.169,,,,,,,,,,,
1863,1.239,,,,,,,,,,,
1864,1.203,,,,,,,,,,,
1865,1.21,,,,,,,,,,,
1866,1.19,,,,,,,,,,,
1867,1.185,,,,,,,,,,,
1868,1.163,,,,,,,,,,,
1869,1.186,,,,,,,,,,,
1870,1.218,,,,,,,,,,,
1871,1.21,,,,,,,,,,,
1872,1.193,,,,,,,,,,,
1873,1.236,,,,,,,,,,,
1874,1.258,,,,,,,,,,,
1875,1.104,,,,,,,,,,,
1876,1.193,,,,,,,,,,,
1877,1.2,,,,,,,,,,,
1878,1.199,,,,,,,,,,,
1879,1.182,,,,,,,,,,,
1880,1.139,,,,,,,,,,,
1881,1.241,,,,,,,,,,,
1882,1.235,,,,,,,,,,,
1883,1.148,,,,,,,,,,,
1884,1.145,,,,,,,,,,,
1885,1.134,,,,,,,,,,,
1886,1.14,,,,,,,,,,,
1887,1.182,,,,,,,,,,,
1888,1.192,,,,,,,,,,,
1889,1.22,,,,,,,,,,,
1890,1.205,,,,,,,,,,,
1891,1.182,,,,,,,,,,,
1892,1.196,,,,,,,,,,,
1893,1.197,,,,,,,,,,,
1894,1.242,,,,,,,,,,,
1895,1.192,8.768000603,1.442999959,-5.449999809,16.09499931,17.23600006,-1.84,5.525500357,130.2109985,-1.41,-1.37924999,12.43174982
1896,1.261,9.389000893,3.145999908,-5.097000122,15.63399982,28.85000038,-2.64,6.41800034,134.1039982,-2.776666667,0.107749939,12.72949982
1897,1.251,11.62500095,5.18599987,-1.143000007,18.06500053,11.73600006,-2.99,7.954750538,188.1980019,-2.98,1.336499959,14.57450008
1898,1.234,9.591000557,1.88499999,-4.43200016,17.29700089,15.1590004,-2.15,5.707750347,187.3459969,-2.033333333,-0.691000044,12.10700023
1899,1.093,7.136000156,-0.953999996,-5.757999897,15.22799969,40.43899918,-2.56,5.603500196,150.586998,-2.333333333,-1.385499958,12.5932498
