year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
1620,0.307,,,,,,,,,,
1621,0.244,,,,,,,,,,
1622,0.37,,,,,,,,,,
1623,0.307,,,,,,,,,,
1624,0.216,,,,,,,,,,
1625,0.16,,,,,,,,,,
1626,0.17,,,,,,,,,,
1627,0.408,,,,,,,,,,
1628,0.467,,,,,,,,,,
1629,0.535,,,,,,,,,,
1630,0.67,,,,,,,,,,
1631,0.771,,,,,,,,,,
1632,0.634,,,,,,,,,,
1633,0.776,,,,,,,,,,
1634,0.959,,,,,,,,,,
1635,0.562,,,,,,,,,,
1636,0.572,,,,,,,,,,
1637,0.78,,,,,,,,,,
1638,0.863,,,,,,,,,,
1639,0.887,,,,,,,,,,
1640,0.803,,,,,,,,,,
1641,0.366,,,,,,,,,,
1642,0.524,,,,,,,,,,
1643,0.5,,,,,,,,,,
1644,0.479,,,,,,,,,,
1645,0.416,,,,,,,,,,
1646,0.404,,,,,,,,,,
1647,0.535,,,,,,,,,,
1648,0.643,,,,,,,,,,
1649,0.65,,,,,,,,,,
1650,0.648,,,,,,,,,,
1651,0.614,,,,,,,,,,
1652,0.507,,,,,,,,,,
1653,0.472,,,,,,,,,,
1654,0.557,,,,,,,,,,
1655,0.772,,,,,,,,,,
1656,0.664,,,,,,,,,,
1657,0.566,,,,,,,,,,
1658,0.543,,,,,,,,,,
1659,0.592,,,,,,,,,,
1660,0.419,,,,,,,,,,
1661,0.489,,,,,,,,,,
1662,0.398,,,,,,,,,,
1663,0.39,,,,,,,,,,
1664,0.265,,,,,,,,,,
1665,0.47,,,,,,,,,,
1666,0.605,,,,,,,,,,
1667,0.429,,,,,,,,,,
1668,0.689,,,,,,,,,,
1669,0.528,,,,,,,,,,
1670,0.431,,,,,,,,,,
1671,0.506,,,,,,,,,,
1672,0.449,,,,,,,,,,
1673,0.359,,,,,,,,,,
1674,0.453,,,,,,,,,,
1675,0.619,,,,,,,,,,
1676,0.604,,,,,,,,,,
1677,0.475,,,,,,,,,,
1678,0.589,,,,,,,,,,
1679,0.75,,,,,,,,,,
1680,0.704,,,,,,,,,,
1681,0.67,,,,,,,,,,
1682,0.681,,,,,,,,,,
1683,0.721,,,,,,,,,,
1684,0.651,,,,,,,,,,
1685,0.664,,,,,,,,,,
1686,0.701,,,,,,,,,,
1687,0.514,,,,,,,,,,
1688,0.683,,,,,,,,,,
1689,0.997,,,,,,,,,,
1690,0.564,,,,,,,,,,
1691,0.477,,,,,,,,,,
1692,0.562,,,,,,,,,,
1693,0.584,,,,,,,,,,
1694,0.361,,,,,,,,,,
1695,0.602,,,,,,,,,,
1696,0.663,,,,,,,,,,
1697,0.704,,,,,,,,,,
1698,0.556,,,,,,,,,,
1699,0.516,,,,,,,,,,
1700,0.498,,,,,,,,,,
1701,0.576,,,,,,,,,,
1702,0.379,,,,,,,,,,
1703,0.493,,,,,,,,,,
1704,0.373,,,,,,,,,,
1705,0.4,,,,,,,,,,
1706,0.494,,,,,,,,,,
1707,0.442,,,,,,,,,,
1708,0.544,,,,,,,,,,
1709,0.581,,,,,,,,,,
1710,0.524,,,,,,,,,,
1711,0.414,,,,,,,,,,
1712,0.46,,,,,,,,,,
1713,0.391,,,,,,,,,,
1714,0.352,,,,,,,,,,
