year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug
1620,1.152,,,,,
1621,0.997,,,,,
1622,1.354,,,,,
1623,1.198,,,,,
1624,0.956,,,,,
1625,0.806,,,,,
1626,0.845,,,,,
1627,0.68,,,,,
1628,0.79,,,,,
1629,0.864,,,,,
1630,1.04,,,,,
1631,1.189,,,,,
1632,1.044,,,,,
1633,1.139,,,,,
1634,1.291,,,,,
1635,0.845,,,,,
1636,0.902,,,,,
1637,1.109,,,,,
1638,1.191,,,,,
1639,1.284,,,,,
1640,1.137,,,,,
1641,0.687,,,,,
1642,0.997,,,,,
1643,1.088,,,,,
1644,0.903,,,,,
1645,0.921,,,,,
1646,0.706,,,,,
1647,0.841,,,,,
1648,0.92,,,,,
1649,0.973,,,,,
1650,1.005,,,,,
1651,1.05,,,,,
1652,1.007,,,,,
1653,1.013,,,,,
1654,1.191,,,,,
1655,1.271,,,,,
1656,1.096,,,,,
1657,1.022,,,,,
1658,1.016,,,,,
1659,1.125,,,,,
1660,0.801,,,,,
1661,0.931,,,,,
1662,0.798,,,,,
1663,0.715,,,,,
1664,0.609,,,,,
1665,0.784,,,,,
1666,0.895,,,,,
1667,0.869,,,,,
1668,1.239,,,,,
1669,0.994,,,,,
1670,0.793,,,,,
1671,0.847,,,,,
1672,0.947,,,,,
1673,0.77,,,,,
1674,0.993,,,,,
1675,1.172,,,,,
1676,1.104,,,,,
1677,0.811,,,,,
1678,0.924,,,,,
1679,1.111,,,,,
1680,1.027,,,,,
1681,1.099,,,,,
1682,1.175,,,,,
1683,1.171,,,,,
1684,1.104,,,,,
1685,1.04,,,,,
1686,1.116,,,,,
1687,0.939,,,,,
1688,1.147,,,,,
1689,1.661,,,,,
1690,1.133,,,,,
1691,0.895,,,,,
1692,0.857,,,,,
1693,0.925,,,,,
1694,0.717,,,,,
1695,0.993,,,,,
1696,1.198,,,,,
1697,1.274,,,,,
1698,1.047,,,,,
1699,0.964,,,,,
1700,0.878,,,,,
1701,0.984,,,,,
1702,0.724,,,,,
1703,0.888,,,,,
1704,0.868,,,,,
1705,0.879,,,,,
1706,1.078,,,,,
1707,0.992,,,,,
1708,1.041,,,,,
1709,1.307,,,,,
1710,1.152,,,,,
1711,0.91,,,,,
1712,0.97,,,,,
1713,0.807,,,,,
1714,0.865,,,,,
1715,0.802,,,,,
1716,0.706,,,,,
1717,1.106,,,,,
1718,0.874,,,,,
1719,1.036,,,,,
1720,1.017,,,,,
1721,1.246,,,,,
1722,1.097,,,,,
1723,1.078,,,,,
1724,1.28,,,,,
1725,1.222,,,,,
1726,1.2,,,,,
1727,1.113,,,,,
1728,1.253,,,,,
1729,0.949,,,,,
1730,0.964,,,,,
1731,0.846,,,,,
1732,0.722,,,,,
1733,0.622,,,,,
1734,0.751,,,,,
1735,0.71,,,,,
1736,0.612,,,,,
1737,0.82,,,,,
1738,1.102,,,,,
1739,1.142,,,,,
1740,0.927,,,,,
1741,1.271,,,,,
1742,1.32,,,,,
1743,1.211,,,,,
1744,0.927,,,,,
1745,0.828,,,,,
1746,0.601,,,,,
1747,0.791,,,,,
1748,0.735,,,,,
1749,0.749,,,,,
1750,1.011,,,,,
1751,1.766,,,,,
1752,0.858,,,,,
1753,0.982,,,,,
1754,0.946,,,,,
1755,1.02,,,,,
1756,1.358,,,,,
1757,1.216,,,,,
1758,1,,,,,
1759,1.322,,,,,
1760,1.307,,,,,
1761,0.92,,,,,
1762,1.044,,,,,
1763,1.213,,,,,
1764,1.024,,,,,
1765,1.037,,,,,
1766,0.639,,,,,
1767,0.704,,,,,
1768,1.013,,,,,
1769,0.857,,,,,
1770,0.868,,,,,
1771,0.957,,,,,
1772,1.062,,,,,
1773,1.294,,,,,
1774,1.227,,,,,
1775,0.884,,,,,
1776,1.076,,,,,
1777,0.946,,,,,
1778,0.973,,,,,
1779,0.74,,,,,
1780,0.807,,,,,
1781,0.683,,,,,
1782,0.603,,,,,
1783,0.768,,,,,
1784,0.834,,,,,
1785,0.927,,,,,
1786,1.143,,,,,
1787,1.005,,,,,
1788,1.222,,,,,
1789,1.198,,,,,
1790,0.988,,,,,
1791,0.671,,,,,
1792,0.872,,,,,
1793,0.757,,,,,
1794,1.28,,,,,
1795,1.462,,,,,
1796,1.231,,,,,
1797,1.121,,,,,
1798,1.535,,,,,
1799,1.126,,,,,
1800,1.262,,,,,
1801,1.067,,,,,
1802,1.138,,,,,
1803,1.003,,,,,
1804,1.223,,,,,
1805,0.975,,,,,
1806,0.784,,,,,
1807,1.307,,,,,
1808,1.484,,,,,
1809,0.861,,,,,
1810,0.919,,,,,
1811,1.39,,,,,
1812,0.999,,,,,
1813,0.794,,,,,
1814,0.643,,,,,
1815,0.829,,,,,
1816,0.815,,,,,
1817,0.842,,,,,
1818,0.785,,,,,
1819,0.942,,,,,
1820,0.881,,,,,
1821,0.883,,,,,
1822,0.806,,,,,
1823,0.793,,,,,
1824,0.774,,,,,
1825,0.853,,,,,
1826,0.998,,,,,
1827,0.952,,,,,
1828,1.054,,,,,
1829,1.075,,,,,
1830,1.141,,,,,
1831,1.358,,,,,
1832,0.937,,,,,
1833,1.271,,,,,
1834,1.097,,,,,
1835,0.766,,,,,
1836,0.497,,,,,
1837,0.671,,,,,
1838,0.715,,,,,
1839,0.783,,,,,
1840,0.746,,,,,
1841,0.658,,,,,
1842,0.599,,,,,
1843,0.679,,,,,
1844,0.55,,,,,
1845,0.609,,,,,
1846,0.75,,,,,
1847,0.739,,,,,
1848,0.884,,,,,
1849,0.979,,,,,
1850,1.158,,,,,
1851,0.945,,,,,
1852,0.919,,,,,
1853,0.79,,,,,
1854,1.02,,,,,
1855,1.022,,,,,
1856,1.342,,,,,
1857,1.413,,,,,
1858,1.233,,,,,
1859,1.489,,,,,
1860,1.017,,,,,
1861,1.135,,,,,
1862,0.92,,,,,
1863,1.335,,,,,
1864,1.098,,,,,
1865,1.062,,,,,
1866,1.133,,,,,
1867,0.96,,,,,
1868,0.944,,,,,
1869,0.826,,,,,
1870,0.993,,,,,
1871,1.154,,,,,
1872,0.878,,,,,
1873,1.46,,,,,
1874,1.294,,,,,
1875,1.037,,,,,
1876,0.98,,,,,
1877,0.847,,,,,
1878,1.158,,,,,
1879,0.898,,,,,
1880,0.761,,,,,
1881,0.863,,,,,
1882,1.046,,,,,
1883,0.739,,,,,
1884,0.787,,,,,
1885,0.903,,,,,
1886,0.973,,,,,
1887,0.937,,,,,
1888,1.09,,,,,
1889,0.961,,,,,
1890,1.065,,,,,
1891,0.93,,,,,
1892,1.147,,,,,
1893,1.168,,,,,
1894,1.039,,,,,
1895,1.034,8.43100071,1.412999988,15.44999981,,-1.08
1896,1.076,10.02900028,3.760999918,16.29899979,26.65200043,-3.3
1897,1.037,8.916000366,1.996999979,15.83699989,49.83399963,-2.74
1898,1.254,8.876000404,1.597000003,16.15600014,60.13499832,-1.89
1899,0.893,9.62100029,1.264000058,17.97999954,58.87599945,-2
1900,0.888,8.550000191,-0.07,17.17000008,55.94499969,-5.34
1901,0.928,11.44900036,3.094000101,19.80599976,15.27499962,-2
1902,0.794,6.710000515,-1.49000001,14.91100025,34.04600143,-2.94
1903,0.92,6.92800045,-0.507000029,14.36499977,53.95500183,-2.22
1904,0.963,7.416000366,-0.342999995,15.17500019,84.09500122,-1.23
1905,1.023,7.247000217,0.018999999,14.47500038,49.77999878,-0.81
1906,1.023,8.774000168,0.308999985,17.23999977,54.80599976,1.85
1907,0.893,7.123000145,-0.709999979,14.95699978,53.90200043,2.61
1908,1.15,10.97400093,4.070000172,17.87899971,74.3710022,2.99
1909,0.96,8.466000557,0.050999999,16.88299942,37.97600174,0.64
1910,0.894,9.826000214,0.916999996,18.73699951,71.00900269,-3.28
1911,0.909,7.28000021,-0.68599999,15.24699974,32.70399857,-0.65
1912,1.081,6.317000389,-0.412999988,13.04800034,47.51699829,1.13
1913,1.053,6.552000523,-1.912999988,15.01799965,72.55899811,1.24
1914,1.017,10.10800076,1.925999999,18.29100037,97.82299805,-1.3
1915,0.576,6.639000416,-2.035000086,15.31400013,32.74499893,3.5
1916,0.674,9.702000618,1.968999982,17.43600082,107.7779999,2.43
1917,0.644,11.37300014,3.431999922,19.31500053,40.9980011,-1.33
1918,0.595,7.98900032,1.01699996,14.96100044,14.27000046,-0.72
1919,0.805,10.24100018,1.75,18.7329998,72.45800018,-5.56
1920,0.737,8.975000381,0.621999979,17.32999992,24.25,-0.88
1921,0.713,8.520000458,0.953999996,16.08699989,30.67300034,-1.82
1922,0.898,8.072000504,1.34800005,14.79699993,58.70899963,1.44
1923,0.871,12.77100086,6.965000153,18.57799911,77.84700012,1.64
1924,0.821,9.015000343,1.47300005,16.55800056,63.4640007,-1.43
1925,1.096,10.76900005,2.84800005,18.69099998,60.17699814,1.33
1926,0.869,10.31300068,3.053999901,17.5720005,37.04399872,-1.13
1927,1.02,9.604000092,3.598999977,15.60999966,56.47700119,2.57
1928,1.042,10.27000046,4.229000092,16.31200027,48.51900101,2.01
1929,1.082,11.0720005,2.894000053,19.25099945,75.91200256,-1.41
1930,0.868,11.83600044,5.635000229,18.03700066,33.31600189,-2.37
1931,1.021,11.04500008,2.70600009,19.38500023,69.15799713,-4.41
1932,1.282,9.647000313,1.833999991,17.46199989,45.64500046,-1.36
1933,1.031,12.13700104,3.407000065,20.86700058,55.94900131,-2.29
1934,0.866,12.36400032,5.842999935,18.88599968,12.79800034,-3.64
1935,1.202,11.6430006,3.069999933,20.21699905,71.15200043,-3.12
1936,1.102,14.46100044,8.243000031,20.68099976,29.26000023,-4.04
1937,1.071,11.89100075,6.06099987,17.72200012,37.97900009,-2.71
1938,1.123,9.217000008,2.256999969,16.1779995,63.7179985,2.24
1939,1.245,11.48200035,3.440000057,19.52499962,73.8219986,-1.48
1940,1.396,11.16200066,3.523000002,18.80200005,27.50099945,-1.99
1941,1.25,10.11000061,2.869999886,17.35000038,36.11700058,-0.71
1942,1.06,9.872000694,1.631000042,18.11300087,35.88600159,1.17
1943,1.081,10.19500065,2.351999998,18.03899956,33.75699997,2.07
1944,1.09,7.789000511,0.771000028,14.80799961,27.7689991,2.28
1945,1.274,9.532000542,2.572000027,16.49300003,46.52000046,1.97
1946,1.327,11.1420002,3.756000042,18.52899933,22.1439991,-0.65
1947,1,11.40200043,4.264999866,18.54000092,44.02000046,0.84
1948,1.273,9.892000198,3.036999941,16.74799919,29.23999977,1.27
1949,1.123,10.84400082,3.385999918,18.3029995,59.51100159,-1.13
1950,0.875,7.98900032,1.149999976,14.82900047,26.70999908,2.44
1951,1.149,10.47300053,4.131000042,16.81599998,79.81300354,4.19
1952,0.959,9.80600071,2.740999937,16.87100029,81.34100342,3
1953,0.867,12.51600075,5.230999947,19.8029995,54.5,0.87
1954,0.794,12.52600098,5.867000103,19.18600082,19.81599998,-1.19
1955,0.987,11.17800045,4.357999802,17.99900055,34.10900116,0.67
1956,0.598,10.17300034,3.309000015,17.03800011,37.98199844,1.77
1957,0.811,11.69100094,4.907000065,18.47500038,40.19900131,4.93
1958,0.731,7.474000454,0.739000022,14.21000004,37.79000092,2.91
1959,1.023,10.55600071,3.423000097,17.69000053,74.68699646,1.1
