year,chron,tmean.aug,pdsi.sep,tmin.may,pcp.aug
1686,0.963,,,,
1687,0.988,,,,
1688,0.957,,,,
1689,1.003,,,,
1690,1,,,,
1691,1.004,,,,
1692,1.003,,,,
1693,1.026,,,,
1694,1.011,,,,
1695,0.996,,,,
1696,1.008,,,,
1697,1.001,,,,
1698,0.938,,,,
1699,0.956,,,,
1700,0.952,,,,
1701,0.988,,,,
1702,0.957,,,,
1703,0.979,,,,
1704,0.975,,,,
1705,0.979,,,,
1706,1.007,,,,
1707,1.03,,,,
1708,1.004,,,,
1709,0.955,,,,
1710,1.013,,,,
1711,1.057,,,,
1712,1.015,,,,
1713,0.982,,,,
1714,0.993,,,,
1715,0.947,,,,
1716,0.968,,,,
1717,1.007,,,,
1718,1.001,,,,
1719,0.981,,,,
1720,0.993,,,,
1721,1.017,,,,
1722,1.005,,,,
1723,0.977,,,,
1724,0.97,,,,
1725,0.939,,,,
1726,0.985,,,,
1727,0.902,,,,
1728,0.975,,,,
1729,0.983,,,,
1730,0.977,,,,
1731,0.982,,,,
1732,0.973,,,,
1733,0.962,,,,
1734,0.969,,,,
1735,0.979,,,,
1736,0.925,,,,
1737,0.983,,,,
1738,0.963,,,,
1739,0.99,,,,
1740,0.949,,,,
1741,0.983,,,,
1742,0.991,,,,
1743,0.981,,,,
1744,1.008,,,,
1745,0.98,,,,
1746,0.983,,,,
1747,0.974,,,,
1748,1.04,,,,
1749,0.991,,,,
1750,0.965,,,,
1751,1.023,,,,
1752,0.963,,,,
1753,0.984,,,,
1754,1.009,,,,
1755,0.945,,,,
1756,1.025,,,,
1757,0.992,,,,
1758,0.968,,,,
1759,1.011,,,,
1760,0.978,,,,
1761,1.023,,,,
1762,1.029,,,,
1763,0.978,,,,
1764,0.981,,,,
1765,0.972,,,,
1766,0.986,,,,
1767,0.99,,,,
1768,1.014,,,,
1769,0.962,,,,
1770,1.001,,,,
1771,0.976,,,,
1772,1.016,,,,
1773,1.034,,,,
1774,1.044,,,,
1775,0.978,,,,
1776,1.032,,,,
1777,0.985,,,,
1778,1.024,,,,
1779,0.923,,,,
1780,1.027,,,,
1781,0.983,,,,
1782,0.959,,,,
1783,1.024,,,,
1784,1.02,,,,
1785,1.01,,,,
1786,1.046,,,,
1787,0.883,,,,
1788,1.022,,,,
1789,0.977,,,,
1790,1.02,,,,
1791,0.98,,,,
1792,0.991,,,,
1793,1.014,,,,
1794,1.03,,,,
1795,1.005,,,,
1796,0.958,,,,
1797,0.917,,,,
1798,0.984,,,,
1799,0.975,,,,
1800,1.043,,,,
1801,0.96,,,,
1802,1.043,,,,
1803,0.991,,,,
1804,1.028,,,,
1805,1.018,,,,
1806,0.971,,,,
1807,0.976,,,,
1808,1.008,,,,
1809,0.94,,,,
1810,0.953,,,,
1811,0.964,,,,
1812,1,,,,
1813,0.953,,,,
1814,1.008,,,,
1815,0.969,,,,
1816,1.018,,,,
1817,0.997,,,,
1818,0.992,,,,
1819,1.024,,,,
1820,1.002,,,,
1821,1.039,,,,
1822,0.988,,,,
1823,1.055,,,,
1824,1.017,,,,
1825,1.015,,,,
1826,0.999,,,,
1827,1.042,,,,
1828,0.96,,,,
1829,1.023,,,,
1830,1.013,,,,
1831,1.012,,,,
1832,1.003,,,,
1833,1.016,,,,
1834,0.999,,,,
1835,0.919,,,,
1836,1.039,,,,
1837,0.959,,,,
1838,0.925,,,,
1839,0.997,,,,
1840,1.01,,,,
1841,1.01,,,,
1842,1.019,,,,
1843,1.011,,,,
1844,0.929,,,,
1845,0.983,,,,
1846,1.027,,,,
1847,1.017,,,,
1848,0.946,,,,
1849,0.99,,,,
1850,1.038,,,,
1851,1.022,,,,
1852,1.039,,,,
1853,1.037,,,,
1854,1.057,,,,
1855,1.037,,,,
1856,1.07,,,,
1857,1.034,,,,
1858,1,,,,
1859,1.034,,,,
1860,1.008,,,,
1861,1.054,,,,
1862,1.012,,,,
1863,1.089,,,,
1864,1.057,,,,
1865,1.039,,,,
1866,0.994,,,,
1867,1.053,,,,
1868,1.03,,,,
1869,1.031,,,,
1870,1.068,,,,
1871,1.079,,,,
