year,chron,ppt.jja,tmax.paug,pdsi.poct,tmax.lsum,stream.yel,swe.yel
1516,0.814,,,,-0.06,82.37329444,30.482
1517,1.43,,,,0.43,99.26278033,34.915
1518,0.762,,,,0.65,54.17344268,64.878
1519,0.734,,,,0.28,121.0002968,54.814
1520,0.651,,,,0.88,52.69706597,45.489
1521,0.755,,,,0.58,115.0234622,21.824
1522,0.899,,,,0.32,117.4319941,66.154
1523,0.79,,,,1.18,160.6151233,44.144
1524,1.324,,,,-1.03,199.8878679,57.782
1525,0.948,,,,1.55,201.2734244,31.917
1526,1.132,,,,0.24,116.6235979,53.909
1527,1.27,,,,1.29,93.92613149,37.349
1528,1.778,,,,0.54,93.27954855,58.608
1529,1.589,,,,0.88,48.5049918,50.56
1530,1.224,,,,1.25,94.35967481,51.249
1531,0.939,,,,1.33,105.8732965,41.805
1532,1.108,,,,1.22,40.81186445,61.036
1533,0.784,,,,0.77,55.3078066,74.603
1534,0.572,,,,1.4,67.41964098,61.008
1535,0.592,,,,0.58,107.841628,29.049
1536,0.539,,,,-1.22,163.6011814,63.884
1537,0.388,,,,-1.89,160.2457188,65.8
1538,0.658,,,,-0.54,136.3912267,84.237
1539,0.843,,,,-0.58,130.2526103,52.983
1540,1.195,,,,-0.39,74.43658417,55.616
1541,1.05,,,,0.39,85.46463369,66.048
1542,1.255,,,,0.47,84.0981487,63.572
1543,1.447,,,,1.14,49.40676693,66.244
1544,1.035,,,,0.17,95.67234865,58.728
1545,0.733,,,,-0.17,65.88498259,35.753
1546,1.058,,,,-1.22,105.1444698,49.36
1547,0.636,,,,0.17,57.11976809,59.378
1548,0.723,,,,0.69,95.89289619,38.71
1549,0.764,,,,0.47,139.2471886,56.613
1550,0.725,,,,1.55,141.8359871,49.449
1551,0.822,,,,1.33,135.4523161,59.084
1552,1.039,,,,0.58,131.7608645,45.671
1553,0.893,,,,0.32,136.3912267,47.424
1554,0.895,,,,1.55,90.3205213,51.934
1555,0.641,,,,1.1,117.161908,40.341
1556,0.531,,,,0.28,116.3553711,52.87
1557,0.632,,,,-0.77,145.4743534,56.98
1558,0.916,,,,0.58,187.8392889,29.621
1559,1.208,,,,0.28,99.95083705,78.394
1560,1.611,,,,-0.54,117.9740355,42.282
1561,1.363,,,,2.04,116.8924431,64.459
1562,1.131,,,,1.48,108.3394024,43.976
1563,0.938,,,,0.99,85.85912051,65.886
1564,1.293,,,,0.77,200.348657,34.123
1565,1.474,,,,1.03,124.1041875,63.074
1566,0.98,,,,-0.28,128.761621,40.64
1567,1.471,,,,0.24,107.841628,54.906
1568,1.327,,,,0.8,102.7510895,40.789
1569,1.266,,,,1.7,95.01374483,60.544
1570,1.152,,,,1.1,90.5287316,39.88
1571,0.806,,,,1.63,93.06501154,61.208
1572,0.888,,,,0.95,82.94427884,52.762
1573,1.023,,,,1.33,115.2886186,45.8
1574,0.878,,,,0.09,72.07529615,53.761
1575,0.719,,,,0.39,89.49245778,49.506
1576,0.579,,,,0.62,77.76540453,52.194
1577,0.645,,,,-0.24,174.4963855,44.705
1578,0.506,,,,0.21,98.57946016,65.877
1579,0.671,,,,0.43,87.05353986,52.812
1580,0.793,,,,0.95,39.79114493,64.212
1581,0.725,,,,0.77,102.9879552,65.925
1582,0.392,,,,0.47,113.4452811,60.292
1583,0.846,,,,-0.02,116.0877611,30.395
1584,1.286,,,,0.8,56.20648616,38.004
1585,1.354,,,,-0.66,54.42349593,65.446
1586,0.707,,,,1.55,102.9879552,46.602
1587,0.748,,,,-0.88,97.00328359,71.814
1588,0.699,,,,0.69,86.65356517,32.484
1589,0.595,,,,0.54,112.9240474,50.473
1590,1.212,,,,1.52,73.58451564,60.902
1591,1.083,,,,0.95,86.65356517,52.622
1592,1.057,,,,1.14,65.28094544,47.811
1593,0.655,,,,1.03,66.03686316,62.876
1594,0.973,,,,0.58,101.3412917,67.538
1595,1.001,,,,0.02,71.25025706,47.091
1596,0.825,,,,-1.25,147.158867,59.464
1597,0.913,,,,0.21,123.8187558,32.403
1598,0.609,,,,1.48,57.91438322,45.229
1599,0.566,,,,0.06,119.3401105,63.337
1600,0.521,,,,0.54,49.74923828,45.364
1601,1.234,,,,-0.62,132.0646046,78.425
1602,1.078,,,,0.28,121.8390308,41.994
1603,1.157,,,,1.25,94.79521928,34.047
1604,1.092,,,,-0.66,132.0646046,73.946
1605,0.714,,,,1.74,111.3746714,50.781
1606,0.805,,,,0.62,114.2316462,65.212
1607,0.685,,,,1.44,67.26458011,54.488
1608,0.68,,,,0.47,107.3461407,45.625
1609,0.338,,,,-0.02,179.7986537,54.595
1610,0.796,,,,0.99,123.2498603,64.851
1611,0.687,,,,0.13,183.9867024,38.511
1612,1.249,,,,0.8,97.67567823,71.816
1613,1.535,,,,1.03,124.3902772,47.385
1614,1.196,,,,1.59,110.099776,52.888
1615,1.467,,,,0.54,138.2886177,62.307
1616,0.857,,,,0.77,144.8059595,49.868
1617,1.389,,,,0.95,208.8268971,33.37
1618,0.931,,,,0.99,90.94659324,75.525
1619,1.5,,,,1.22,120.1673366,6.563
1620,0.883,,,,1.03,84.87629929,48.693
1621,1.067,,,,-1.93,206.4364754,43.469
1622,0.672,,,,1.14,135.4523161,48.809
1623,0.918,,,,0.32,120.4443509,38.654
1624,1.308,,,,-0.32,158.4114012,64.066
1625,1.075,,,,0.58,163.6011814,54.903
1626,1.122,,,,0.28,57.25144276,68.593
1627,0.782,,,,0.21,63.21009391,84.474
1628,1.026,,,,0.02,145.4743534,44.472
1629,1.038,,,,-0.36,84.68108922,61.335
