year,chron,tmean.aug,pdsi.sep,tmin.may,pcp.aug
1629,0.953,,,,
1630,0.948,,,,
1631,0.997,,,,
1632,0.997,,,,
1633,0.986,,,,
1634,1.023,,,,
1635,0.974,,,,
1636,1.032,,,,
1637,0.994,,,,
1638,0.986,,,,
1639,1.004,,,,
1640,0.925,,,,
1641,0.889,,,,
1642,0.874,,,,
1643,0.913,,,,
1644,0.877,,,,
1645,0.98,,,,
1646,1.004,,,,
1647,0.952,,,,
1648,0.9,,,,
1649,0.926,,,,
1650,0.915,,,,
1651,0.949,,,,
1652,0.996,,,,
1653,0.957,,,,
1654,0.97,,,,
1655,0.958,,,,
1656,0.997,,,,
1657,0.971,,,,
1658,1.021,,,,
1659,1.006,,,,
1660,0.91,,,,
1661,0.966,,,,
1662,0.944,,,,
1663,0.974,,,,
1664,1.011,,,,
1665,0.946,,,,
1666,0.929,,,,
1667,0.95,,,,
1668,0.956,,,,
1669,0.912,,,,
1670,0.963,,,,
1671,0.983,,,,
1672,0.957,,,,
1673,0.925,,,,
1674,0.938,,,,
1675,0.954,,,,
1676,0.96,,,,
1677,0.92,,,,
1678,0.96,,,,
1679,0.936,,,,
1680,0.953,,,,
1681,0.962,,,,
1682,0.932,,,,
1683,0.937,,,,
1684,0.981,,,,
1685,0.963,,,,
1686,1.005,,,,
1687,1.021,,,,
1688,1.006,,,,
1689,1.009,,,,
1690,1.02,,,,
1691,0.985,,,,
1692,1.004,,,,
1693,0.986,,,,
1694,0.98,,,,
1695,0.946,,,,
1696,1.011,,,,
1697,1.027,,,,
1698,0.865,,,,
1699,0.937,,,,
1700,0.95,,,,
1701,0.971,,,,
1702,0.937,,,,
1703,1.01,,,,
1704,1.013,,,,
1705,1.025,,,,
1706,1.075,,,,
1707,1.019,,,,
1708,0.992,,,,
1709,1.019,,,,
1710,1.037,,,,
1711,1.055,,,,
1712,1.074,,,,
1713,1.034,,,,
1714,0.999,,,,
1715,1.021,,,,
1716,1.019,,,,
1717,1.055,,,,
1718,1.048,,,,
1719,1.025,,,,
1720,1.024,,,,
1721,1.041,,,,
1722,1.021,,,,
1723,0.976,,,,
1724,1.071,,,,
1725,0.888,,,,
1726,1.004,,,,
1727,0.906,,,,
1728,0.991,,,,
1729,1.01,,,,
1730,1.016,,,,
1731,1.04,,,,
1732,1.013,,,,
1733,0.981,,,,
1734,1,,,,
1735,1.028,,,,
1736,0.97,,,,
1737,1.029,,,,
1738,0.988,,,,
1739,1.029,,,,
1740,0.956,,,,
1741,0.99,,,,
1742,1.024,,,,
1743,1.022,,,,
1744,1.046,,,,
1745,0.987,,,,
1746,0.993,,,,
1747,0.973,,,,
1748,0.977,,,,
1749,0.953,,,,
1750,0.923,,,,
1751,1.035,,,,
1752,0.976,,,,
1753,0.98,,,,
1754,1.005,,,,
1755,0.929,,,,
1756,1.054,,,,
1757,1.038,,,,
1758,0.954,,,,
1759,1.05,,,,
1760,1.023,,,,
1761,1.027,,,,
1762,1.051,,,,
1763,0.999,,,,
1764,1.014,,,,
1765,0.996,,,,
1766,0.977,,,,
1767,1,,,,
1768,1.014,,,,
1769,0.959,,,,
1770,1.007,,,,
1771,0.994,,,,
1772,1.004,,,,
1773,1.049,,,,
1774,1.037,,,,
1775,0.981,,,,
1776,1.037,,,,
1777,0.973,,,,
1778,1.026,,,,
1779,0.906,,,,
1780,0.968,,,,
1781,0.961,,,,
1782,0.942,,,,
1783,0.967,,,,
1784,0.989,,,,
1785,0.958,,,,
1786,1.005,,,,
1787,0.907,,,,
1788,1.006,,,,
1789,0.949,,,,
1790,0.98,,,,
1791,0.968,,,,
1792,1,,,,
1793,0.997,,,,
1794,1.044,,,,
1795,1.041,,,,
1796,1.037,,,,
1797,1.006,,,,
1798,1.031,,,,
1799,1.01,,,,
1800,1.032,,,,
1801,1.009,,,,
1802,1.068,,,,
1803,1.025,,,,
1804,1.02,,,,
1805,0.993,,,,
1806,0.996,,,,
1807,1.01,,,,
1808,1.026,,,,
1809,0.955,,,,
1810,0.972,,,,
1811,1.004,,,,
1812,1.033,,,,
1813,0.992,,,,
1814,1.016,,,,
1815,0.998,,,,
1816,1.018,,,,
1817,1.042,,,,
1818,1.03,,,,
1819,1.03,,,,
1820,1.019,,,,
1821,1.053,,,,
1822,1.039,,,,
1823,1.009,,,,
1824,1.008,,,,
1825,0.992,,,,
1826,0.98,,,,
1827,1.009,,,,
1828,0.968,,,,
1829,1.012,,,,
1830,1.006,,,,
1831,1.043,,,,
1832,0.991,,,,
1833,1.008,,,,
1834,0.972,,,,
1835,0.891,,,,
1836,1.011,,,,
1837,0.955,,,,
1838,0.941,,,,
1839,0.972,,,,
1840,1.012,,,,
1841,0.976,,,,
1842,0.964,,,,
1843,0.942,,,,
1844,0.94,,,,
1845,0.939,,,,
1846,0.968,,,,
1847,0.976,,,,
1848,0.941,,,,
1849,1,,,,
1850,0.999,,,,
1851,0.974,,,,
1852,1.029,,,,
1853,1.027,,,,
1854,1.042,,,,
1855,1.004,,,,
1856,1.081,,,,
1857,1.078,,,,
1858,1.008,,,,
1859,1.044,,,,
1860,1.012,,,,
1861,1.064,,,,
1862,1.032,,,,
1863,1.065,,,,
1864,1.049,,,,
1865,1.044,,,,
1866,1.014,,,,
1867,1.045,,,,
1868,1.024,,,,
1869,1,,,,
1870,1.056,,,,
1871,1.055,,,,
1872,1.032,,,,
1873,1.063,,,,
1874,1.046,,,,
1875,0.955,,,,
1876,0.996,,,,
1877,1.007,,,,
1878,1.004,,,,
1879,0.999,,,,
1880,0.991,,,,
1881,1.052,,,,
1882,1.035,,,,
1883,1.033,,,,
1884,1.025,,,,
1885,1.02,,,,
1886,0.996,,,,
1887,1.019,,,,
1888,1.027,,,,
1889,1.04,,,,
1890,1.031,,,,
1891,0.994,,,,
1892,1.001,,,,
1893,1.008,,,,
1894,1.05,,,,
1895,1.021,9.934000015,-0.95,-3.951999903,17.81800079
1896,0.973,10.77600098,-2.09,-3.335000038,28.70800018
1897,1.044,12.91200066,-3.01,0.681999981,11.57299995
1898,1.019,10.81000042,-1.82,-2.792999983,15.5010004
1899,0.923,8.347000122,-2.39,-4.080999851,39.8409996
1900,1.032,9.383000374,-4.96,-2.786999941,21.51099968
1901,0.985,11.49800014,-1.73,-0.400999993,25.46899986
1902,1.005,8.541000366,-3.08,-2.316999912,8.798000336
1903,0.982,9.30700016,-1.4,-5.34800005,15.17199993
1904,0.979,9.262000084,-1.58,-4.486000061,40.20999908
1905,0.955,10.36300087,-1.06,-5.137000084,29.70599937
1906,0.93,8.511000633,1.19,-2.289999962,67.40399933
1907,0.901,8.80300045,2.83,-6.438000202,66.92900085
1908,0.966,7.847000599,2.3,-3.381999969,47.05400085
1909,0.99,10.71200085,1.34,-4.197000027,34.71500015
1910,1.028,7.605000496,-2.3,-4.909999847,18.61899948
1911,0.982,7.099000454,0.17,-4.752999783,22.70499992
1912,0.992,7.65500021,2.18,-5.087999821,49.39500046
1913,0.995,9.527000427,1.36,-4.643000126,20.56800079
1914,1.027,9.528000832,-0.9,-5.331999779,9.414999962
1915,0.978,9.736000061,4.46,-5.453000069,64.94999695
1916,1.028,9.028000832,1.93,-4.497000217,37.43799973
1917,1.004,9.005000114,-1.11,-5.191999912,16.19300079
1918,0.972,8.68900013,0.48,-5.639999866,39.68299866
1919,1.047,11.0710001,-5.2,-4.163000107,11.46899986
1920,1.004,9.625,-1.22,-4.485000134,48.04100037
1921,1.003,9.539000511,-1.78,-4.118000031,32.75899887
1922,0.964,12.37800026,-0.73,-0.768000007,51.44900131
1923,0.939,9.388000488,2.1,-3.832000017,57.00899887
1924,0.994,9.243000031,-1.13,-4.486999989,25.07799911
1925,0.998,9.727000237,1.18,-3.140000105,47.70299911
1926,1.009,11.33500099,1.05,0.27700001,81.80599976
1927,0.938,8.61400032,2.62,-4.853000164,59.32699966
