year,chron,tmean.aug,tmin.aug,tmin.may,tmax.aug,ppt.aug,pdsi.oct,tmean.mjja,ppt.jja,pdsi.aso,tmin.mjja,tmax.mjja
1629,1.172,,,,,,,,,,,
1630,1.157,,,,,,,,,,,
1631,1.283,,,,,,,,,,,
1632,1.281,,,,,,,,,,,
1633,1.249,,,,,,,,,,,
1634,1.345,,,,,,,,,,,
1635,1.213,,,,,,,,,,,
1636,1.363,,,,,,,,,,,
1637,1.261,,,,,,,,,,,
1638,1.238,,,,,,,,,,,
1639,1.284,,,,,,,,,,,
1640,1.186,,,,,,,,,,,
1641,1.113,,,,,,,,,,,
1642,1.176,,,,,,,,,,,
1643,1.202,,,,,,,,,,,
1644,1.186,,,,,,,,,,,
1645,1.361,,,,,,,,,,,
1646,1.258,,,,,,,,,,,
1647,1.251,,,,,,,,,,,
1648,1.216,,,,,,,,,,,
1649,1.274,,,,,,,,,,,
1650,1.253,,,,,,,,,,,
1651,1.312,,,,,,,,,,,
1652,1.402,,,,,,,,,,,
1653,1.204,,,,,,,,,,,
1654,1.251,,,,,,,,,,,
1655,1.228,,,,,,,,,,,
1656,1.288,,,,,,,,,,,
1657,1.301,,,,,,,,,,,
1658,1.315,,,,,,,,,,,
1659,1.284,,,,,,,,,,,
1660,1.152,,,,,,,,,,,
1661,1.293,,,,,,,,,,,
1662,1.256,,,,,,,,,,,
1663,1.304,,,,,,,,,,,
1664,1.311,,,,,,,,,,,
1665,1.179,,,,,,,,,,,
1666,1.206,,,,,,,,,,,
1667,1.192,,,,,,,,,,,
1668,1.273,,,,,,,,,,,
1669,1.228,,,,,,,,,,,
1670,1.223,,,,,,,,,,,
1671,1.319,,,,,,,,,,,
1672,1.299,,,,,,,,,,,
1673,1.172,,,,,,,,,,,
1674,1.175,,,,,,,,,,,
1675,1.226,,,,,,,,,,,
1676,1.25,,,,,,,,,,,
1677,1.203,,,,,,,,,,,
1678,1.244,,,,,,,,,,,
1679,1.199,,,,,,,,,,,
1680,1.228,,,,,,,,,,,
1681,1.233,,,,,,,,,,,
1682,1.19,,,,,,,,,,,
1683,1.17,,,,,,,,,,,
1684,1.284,,,,,,,,,,,
1685,1.255,,,,,,,,,,,
1686,1.346,,,,,,,,,,,
1687,1.356,,,,,,,,,,,
1688,1.306,,,,,,,,,,,
1689,1.316,,,,,,,,,,,
1690,1.331,,,,,,,,,,,
1691,1.277,,,,,,,,,,,
1692,1.307,,,,,,,,,,,
1693,1.27,,,,,,,,,,,
1694,1.265,,,,,,,,,,,
1695,1.221,,,,,,,,,,,
1696,1.317,,,,,,,,,,,
1697,1.329,,,,,,,,,,,
1698,1.111,,,,,,,,,,,
1699,1.202,,,,,,,,,,,
1700,1.207,,,,,,,,,,,
1701,1.223,,,,,,,,,,,
1702,1.234,,,,,,,,,,,
1703,1.321,,,,,,,,,,,
1704,1.297,,,,,,,,,,,
1705,1.284,,,,,,,,,,,
1706,1.372,,,,,,,,,,,
1707,1.306,,,,,,,,,,,
1708,1.235,,,,,,,,,,,
1709,1.343,,,,,,,,,,,
1710,1.361,,,,,,,,,,,
1711,1.393,,,,,,,,,,,
1712,1.404,,,,,,,,,,,
1713,1.355,,,,,,,,,,,
1714,1.299,,,,,,,,,,,
1715,1.327,,,,,,,,,,,
1716,1.327,,,,,,,,,,,
1717,1.37,,,,,,,,,,,
1718,1.357,,,,,,,,,,,
1719,1.33,,,,,,,,,,,
1720,1.325,,,,,,,,,,,
1721,1.349,,,,,,,,,,,
1722,1.308,,,,,,,,,,,
1723,1.257,,,,,,,,,,,
1724,1.374,,,,,,,,,,,
1725,1.147,,,,,,,,,,,
1726,1.274,,,,,,,,,,,
1727,1.17,,,,,,,,,,,
1728,1.271,,,,,,,,,,,
1729,1.287,,,,,,,,,,,
1730,1.307,,,,,,,,,,,
1731,1.292,,,,,,,,,,,
1732,1.287,,,,,,,,,,,
1733,1.276,,,,,,,,,,,
1734,1.26,,,,,,,,,,,
1735,1.283,,,,,,,,,,,
1736,1.25,,,,,,,,,,,
1737,1.312,,,,,,,,,,,
1738,1.252,,,,,,,,,,,
1739,1.299,,,,,,,,,,,
1740,1.222,,,,,,,,,,,
1741,1.257,,,,,,,,,,,
1742,1.302,,,,,,,,,,,
1743,1.274,,,,,,,,,,,
1744,1.285,,,,,,,,,,,
1745,1.255,,,,,,,,,,,
1746,1.219,,,,,,,,,,,
1747,1.21,,,,,,,,,,,
1748,1.214,,,,,,,,,,,
1749,1.188,,,,,,,,,,,
1750,1.156,,,,,,,,,,,
1751,1.283,,,,,,,,,,,
1752,1.218,,,,,,,,,,,
1753,1.241,,,,,,,,,,,
1754,1.245,,,,,,,,,,,
1755,1.161,,,,,,,,,,,
1756,1.292,,,,,,,,,,,
1757,1.274,,,,,,,,,,,
1758,1.218,,,,,,,,,,,
1759,1.283,,,,,,,,,,,
1760,1.231,,,,,,,,,,,
1761,1.263,,,,,,,,,,,
1762,1.299,,,,,,,,,,,
1763,1.229,,,,,,,,,,,
1764,1.243,,,,,,,,,,,
1765,1.223,,,,,,,,,,,
1766,1.201,,,,,,,,,,,
1767,1.226,,,,,,,,,,,
1768,1.244,,,,,,,,,,,
1769,1.175,,,,,,,,,,,
1770,1.236,,,,,,,,,,,
1771,1.217,,,,,,,,,,,
1772,1.222,,,,,,,,,,,
1773,1.274,,,,,,,,,,,
1774,1.267,,,,,,,,,,,
1775,1.198,,,,,,,,,,,
1776,1.259,,,,,,,,,,,
1777,1.187,,,,,,,,,,,
1778,1.245,,,,,,,,,,,
1779,1.115,,,,,,,,,,,
1780,1.171,,,,,,,,,,,
1781,1.154,,,,,,,,,,,
1782,1.127,,,,,,,,,,,
1783,1.162,,,,,,,,,,,
1784,1.158,,,,,,,,,,,
1785,1.145,,,,,,,,,,,
1786,1.191,,,,,,,,,,,
1787,1.133,,,,,,,,,,,
1788,1.208,,,,,,,,,,,
1789,1.164,,,,,,,,,,,
1790,1.185,,,,,,,,,,,
1791,1.171,,,,,,,,,,,
1792,1.206,,,,,,,,,,,
1793,1.201,,,,,,,,,,,
1794,1.253,,,,,,,,,,,
1795,1.243,,,,,,,,,,,
1796,1.231,,,,,,,,,,,
1797,1.208,,,,,,,,,,,
1798,1.222,,,,,,,,,,,
1799,1.207,,,,,,,,,,,
1800,1.231,,,,,,,,,,,
1801,1.209,,,,,,,,,,,
1802,1.281,,,,,,,,,,,
1803,1.218,,,,,,,,,,,
1804,1.217,,,,,,,,,,,
1805,1.19,,,,,,,,,,,
1806,1.189,,,,,,,,,,,
1807,1.193,,,,,,,,,,,
1808,1.198,,,,,,,,,,,
1809,1.135,,,,,,,,,,,
1810,1.163,,,,,,,,,,,
1811,1.192,,,,,,,,,,,
1812,1.228,,,,,,,,,,,
1813,1.188,,,,,,,,,,,
1814,1.203,,,,,,,,,,,
1815,1.188,,,,,,,,,,,
1816,1.201,,,,,,,,,,,
1817,1.226,,,,,,,,,,,
1818,1.211,,,,,,,,,,,
1819,1.219,,,,,,,,,,,
1820,1.2,,,,,,,,,,,
1821,1.229,,,,,,,,,,,
1822,1.217,,,,,,,,,,,
1823,1.186,,,,,,,,,,,
1824,1.18,,,,,,,,,,,
1825,1.16,,,,,,,,,,,
1826,1.147,,,,,,,,,,,
1827,1.181,,,,,,,,,,,
1828,1.116,,,,,,,,,,,
1829,1.186,,,,,,,,,,,
1830,1.174,,,,,,,,,,,
1831,1.21,,,,,,,,,,,
1832,1.163,,,,,,,,,,,
1833,1.175,,,,,,,,,,,
1834,1.136,,,,,,,,,,,
1835,1.052,,,,,,,,,,,
1836,1.162,,,,,,,,,,,
1837,1.112,,,,,,,,,,,
1838,1.089,,,,,,,,,,,
1839,1.116,,,,,,,,,,,
1840,1.173,,,,,,,,,,,
1841,1.172,,,,,,,,,,,
1842,1.119,,,,,,,,,,,
1843,1.09,,,,,,,,,,,
1844,1.085,,,,,,,,,,,
1845,1.092,,,,,,,,,,,
1846,1.127,,,,,,,,,,,
1847,1.114,,,,,,,,,,,
1848,1.064,,,,,,,,,,,
1849,1.163,,,,,,,,,,,
1850,1.159,,,,,,,,,,,
1851,1.157,,,,,,,,,,,
1852,1.202,,,,,,,,,,,
1853,1.232,,,,,,,,,,,
1854,1.208,,,,,,,,,,,
1855,1.17,,,,,,,,,,,
1856,1.248,,,,,,,,,,,
1857,1.268,,,,,,,,,,,
1858,1.172,,,,,,,,,,,
1859,1.198,,,,,,,,,,,
1860,1.164,,,,,,,,,,,
1861,1.217,,,,,,,,,,,
1862,1.187,,,,,,,,,,,
1863,1.226,,,,,,,,,,,
1864,1.206,,,,,,,,,,,
1865,1.202,,,,,,,,,,,
1866,1.167,,,,,,,,,,,
1867,1.194,,,,,,,,,,,
1868,1.179,,,,,,,,,,,
1869,1.152,,,,,,,,,,,
1870,1.206,,,,,,,,,,,
1871,1.208,,,,,,,,,,,
1872,1.181,,,,,,,,,,,
1873,1.209,,,,,,,,,,,
1874,1.182,,,,,,,,,,,
1875,1.119,,,,,,,,,,,
1876,1.147,,,,,,,,,,,
1877,1.156,,,,,,,,,,,
1878,1.164,,,,,,,,,,,
1879,1.153,,,,,,,,,,,
1880,1.147,,,,,,,,,,,
1881,1.208,,,,,,,,,,,
1882,1.197,,,,,,,,,,,
1883,1.176,,,,,,,,,,,
1884,1.169,,,,,,,,,,,
1885,1.159,,,,,,,,,,,
1886,1.146,,,,,,,,,,,
1887,1.172,,,,,,,,,,,
1888,1.176,,,,,,,,,,,
1889,1.185,,,,,,,,,,,
1890,1.189,,,,,,,,,,,
1891,1.154,,,,,,,,,,,
1892,1.167,,,,,,,,,,,
1893,1.175,,,,,,,,,,,
1894,1.205,,,,,,,,,,,
