year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug,tmean.jjas,tmin.jjas,tmax.jjas,ppt.jja,pdsi.mjja
1629,1.217,,,,,,,,,,
1630,1.227,,,,,,,,,,
1631,1.101,,,,,,,,,,
1632,0.751,,,,,,,,,,
1633,1.345,,,,,,,,,,
1634,1.195,,,,,,,,,,
1635,1.027,,,,,,,,,,
1636,1.27,,,,,,,,,,
1637,0.891,,,,,,,,,,
1638,1.558,,,,,,,,,,
1639,1.345,,,,,,,,,,
1640,1.395,,,,,,,,,,
1641,0.67,,,,,,,,,,
1642,0.85,,,,,,,,,,
1643,1.419,,,,,,,,,,
1644,1.164,,,,,,,,,,
1645,1.574,,,,,,,,,,
1646,1.517,,,,,,,,,,
1647,1.917,,,,,,,,,,
1648,1.579,,,,,,,,,,
1649,1.647,,,,,,,,,,
1650,1.344,,,,,,,,,,
1651,1.538,,,,,,,,,,
1652,1.87,,,,,,,,,,
1653,1.066,,,,,,,,,,
1654,1.328,,,,,,,,,,
1655,1.339,,,,,,,,,,
1656,1.65,,,,,,,,,,
1657,1.59,,,,,,,,,,
1658,1.501,,,,,,,,,,
1659,1.434,,,,,,,,,,
1660,1.308,,,,,,,,,,
1661,1.22,,,,,,,,,,
1662,1.174,,,,,,,,,,
1663,0.908,,,,,,,,,,
1664,1.045,,,,,,,,,,
1665,1.049,,,,,,,,,,
1666,1.127,,,,,,,,,,
1667,0.947,,,,,,,,,,
1668,1.539,,,,,,,,,,
1669,1.156,,,,,,,,,,
1670,0.958,,,,,,,,,,
1671,1.032,,,,,,,,,,
1672,1.253,,,,,,,,,,
1673,1.01,,,,,,,,,,
1674,1.119,,,,,,,,,,
1675,1.22,,,,,,,,,,
1676,1.045,,,,,,,,,,
1677,0.788,,,,,,,,,,
1678,0.837,,,,,,,,,,
1679,0.92,,,,,,,,,,
1680,0.7,,,,,,,,,,
1681,0.767,,,,,,,,,,
1682,0.953,,,,,,,,,,
1683,0.91,,,,,,,,,,
1684,0.904,,,,,,,,,,
1685,0.968,,,,,,,,,,
1686,1.085,,,,,,,,,,
1687,0.98,,,,,,,,,,
1688,1.039,,,,,,,,,,
1689,1.297,,,,,,,,,,
1690,1.031,,,,,,,,,,
1691,0.793,,,,,,,,,,
1692,0.678,,,,,,,,,,
1693,0.668,,,,,,,,,,
1694,0.68,,,,,,,,,,
1695,0.857,,,,,,,,,,
1696,0.822,,,,,,,,,,
1697,0.876,,,,,,,,,,
1698,0.958,,,,,,,,,,
1699,0.8,,,,,,,,,,
1700,0.736,,,,,,,,,,
1701,0.745,,,,,,,,,,
