year,chron,tmean.july,tmin.july,tmax.july,ppt.july,pdsi.aug
1629,1.013,,,,,
1630,1.02,,,,,
1631,0.958,,,,,
1632,0.779,,,,,
1633,1.087,,,,,
1634,1.011,,,,,
1635,0.926,,,,,
1636,1.054,,,,,
1637,0.858,,,,,
1638,1.209,,,,,
1639,1.1,,,,,
1640,1.066,,,,,
1641,0.645,,,,,
1642,0.717,,,,,
1643,0.868,,,,,
1644,0.815,,,,,
1645,1.061,,,,,
1646,1.025,,,,,
1647,1.249,,,,,
1648,1.055,,,,,
1649,1.108,,,,,
1650,1.072,,,,,
1651,1.029,,,,,
1652,1.242,,,,,
1653,0.788,,,,,
1654,1.067,,,,,
1655,1.102,,,,,
1656,1.346,,,,,
1657,1.095,,,,,
1658,1.061,,,,,
1659,1.037,,,,,
1660,0.971,,,,,
1661,0.949,,,,,
1662,1.078,,,,,
1663,0.73,,,,,
1664,0.965,,,,,
1665,0.982,,,,,
1666,1.026,,,,,
1667,0.831,,,,,
1668,1.152,,,,,
1669,1.116,,,,,
1670,0.962,,,,,
1671,1.102,,,,,
1672,1.125,,,,,
1673,0.965,,,,,
1674,1.096,,,,,
1675,1.147,,,,,
1676,1.106,,,,,
1677,0.631,,,,,
1678,0.673,,,,,
1679,0.888,,,,,
1680,0.769,,,,,
1681,0.778,,,,,
1682,0.854,,,,,
1683,0.827,,,,,
1684,0.948,,,,,
1685,1.048,,,,,
1686,1.127,,,,,
1687,0.955,,,,,
1688,1.024,,,,,
1689,1.327,,,,,
1690,1.132,,,,,
1691,0.888,,,,,
1692,0.817,,,,,
1693,0.784,,,,,
1694,0.808,,,,,
1695,0.9,,,,,
1696,1.009,,,,,
1697,1.06,,,,,
1698,0.939,,,,,
1699,1.003,,,,,
1700,0.929,,,,,
1701,0.954,,,,,
1702,0.812,,,,,
1703,0.917,,,,,
1704,0.776,,,,,
1705,0.945,,,,,
1706,0.941,,,,,
1707,0.819,,,,,
1708,0.802,,,,,
1709,1.346,,,,,
1710,1.326,,,,,
1711,1.106,,,,,
1712,1.055,,,,,
1713,1.145,,,,,
1714,1.056,,,,,
1715,1.009,,,,,
1716,1.009,,,,,
1717,1.228,,,,,
1718,0.991,,,,,
1719,1.045,,,,,
1720,0.835,,,,,
1721,0.952,,,,,
1722,0.845,,,,,
1723,0.896,,,,,
1724,1.173,,,,,
1725,0.933,,,,,
1726,1.068,,,,,
1727,0.999,,,,,
1728,1.09,,,,,
1729,1.043,,,,,
1730,1.12,,,,,
1731,1.347,,,,,
1732,1.021,,,,,
1733,1.007,,,,,
1734,1.08,,,,,
1735,0.965,,,,,
1736,0.777,,,,,
1737,0.914,,,,,
1738,1.057,,,,,
1739,1.071,,,,,
1740,0.897,,,,,
1741,0.958,,,,,
1742,1.132,,,,,
1743,1.136,,,,,
1744,0.876,,,,,
1745,0.936,,,,,
1746,0.856,,,,,
1747,0.925,,,,,
1748,0.922,,,,,
1749,0.97,,,,,
1750,1.069,,,,,
1751,1.389,,,,,
1752,0.913,,,,,
1753,0.942,,,,,
1754,0.943,,,,,
1755,0.944,,,,,
1756,1.183,,,,,
1757,1.103,,,,,
1758,1.082,,,,,
1759,1.131,,,,,
1760,1.274,,,,,
1761,1.055,,,,,
1762,1.215,,,,,
1763,1.327,,,,,
1764,1.022,,,,,
1765,1.076,,,,,
1766,0.69,,,,,
1767,0.766,,,,,
1768,0.975,,,,,
1769,0.7,,,,,
1770,0.763,,,,,
1771,0.928,,,,,
1772,0.832,,,,,
1773,1.115,,,,,
1774,1.169,,,,,
1775,0.824,,,,,
1776,1.097,,,,,
1777,0.905,,,,,
1778,1.027,,,,,
1779,0.756,,,,,
1780,0.83,,,,,
1781,0.812,,,,,
1782,0.685,,,,,
1783,0.821,,,,,
1784,0.823,,,,,
1785,0.93,,,,,
1786,1.02,,,,,
1787,1,,,,,
1788,1.101,,,,,
1789,0.963,,,,,
1790,0.848,,,,,
1791,0.815,,,,,
1792,0.921,,,,,
1793,0.752,,,,,
1794,0.99,,,,,
1795,1.16,,,,,
1796,1.112,,,,,
1797,0.97,,,,,
1798,1.296,,,,,
1799,1.1,,,,,
1800,1.038,,,,,
1801,0.935,,,,,
1802,1.2,,,,,
1803,0.868,,,,,
1804,1.226,,,,,
1805,0.861,,,,,
1806,0.886,,,,,
1807,0.97,,,,,
1808,1.036,,,,,
1809,0.683,,,,,
1810,0.884,,,,,
1811,1.398,,,,,
1812,1.317,,,,,
1813,1.1,,,,,
1814,0.992,,,,,
1815,1.001,,,,,
1816,1.002,,,,,
1817,1.081,,,,,
1818,1.084,,,,,
