year,chron,tmax.lsum,stream.yel,swe.yel
736,0.427,,158.0470651,53.64
737,0.534,,107.841628,72.329
738,0.659,,123.5339805,46.211
739,0.715,,44.03382737,53.819
740,0.475,,95.23277413,66.189
741,0.785,,62.05637967,44.306
742,1.128,,137.9705627,26.618
743,0.825,,153.0334734,61.289
744,0.818,,115.8207667,44.121
745,0.567,,83.13548515,78.091
746,0.991,,78.66588548,37.123
747,0.748,,96.11395214,42.918
748,0.796,,109.0903752,37.205
749,1.099,,96.11395214,27.869
750,0.909,,117.7027028,41.212
751,1.066,,78.66588548,33.202
752,0.994,,47.40088339,44.654
753,0.461,,79.94410329,85.544
754,0.346,,46.53571977,97.352
755,0.439,,42.44108084,77.695
756,0.784,,56.98839627,50.878
757,0.583,,75.47210021,51.542
758,0.793,,82.5631845,40.713
759,0.875,,172.896593,33.08
760,0.605,,171.3114676,49.095
761,0.63,,158.7765772,58.689
762,0.602,,51.73523612,56.074
763,0.63,,60.36517104,50.897
764,0.607,,89.49245778,64.324
765,0.644,,102.9879552,63.199
766,0.938,,125.2525094,30.782
767,0.755,,147.4981032,34.645
768,0.637,,48.84121234,61.921
769,0.549,,119.0656358,65.186
770,0.608,0.51,78.48495896,57.56
771,0.502,0.02,55.18060217,57.965
772,0.682,-1.07,66.64789473,42.246
773,0.716,-0.28,162.4749588,39.474
774,0.551,-0.28,137.02078,51.196
775,0.407,-0.13,93.71010738,66.937
776,0.266,-0.92,95.23277413,77.44
777,0.406,-2.34,87.45536074,74.307
778,0.525,-0.47,102.5147686,52.695
779,0.671,-1.37,202.2024603,36.985
780,0.824,-0.66,222.2216846,22.614
781,0.608,0.39,95.89289619,35.737
782,0.448,-0.84,97.67567823,68.645
783,0.641,-0.43,43.73070064,61.956
784,0.702,-0.66,141.5097734,48.603
785,0.592,-0.92,190.8914318,44.524
786,0.623,-0.21,213.6911004,37.188
787,0.69,0.73,192.6577285,25.192
788,0.58,0.54,74.78016783,55.753
789,0.469,-0.39,145.4743534,75.832
790,0.425,0.43,102.5147686,55.792
791,0.43,0.09,93.92613149,66.227
792,0.444,0.24,82.75351229,50.551
793,0.376,0.21,61.06416678,72.945
794,0.499,1.07,47.72945062,50.641
795,0.6,1.03,78.66588548,45.682
796,0.549,1.25,81.24309047,46.65
797,0.373,0.58,89.49245778,62.554
798,0.745,0.28,138.2886177,27.642
799,0.49,0.13,112.4052085,55.331
800,0.437,0.06,111.1185167,66.671
801,0.512,-0.95,118.7917925,54.193
802,0.556,-0.66,139.2471886,50.456
803,0.432,-1.85,113.7067995,78.271
804,0.443,-0.39,66.801534,43.039
805,0.43,-1.78,140.859595,65.313
806,0.287,-0.28,89.08127729,75.402
807,0.428,-2.08,74.60817822,61.063
808,0.431,-0.43,106.1173596,44.084
809,0.309,-1.55,98.12652868,68.416
810,0.42,-0.54,94.79521928,57.19
811,0.35,0.69,93.71010738,69.948
812,0.395,0.13,74.95255392,58.867
813,0.431,-0.36,109.5939135,60.744
814,0.401,-0.8,82.75351229,53.55
815,0.375,-0.69,92.63741665,56.156
816,0.226,-1.55,163.6011814,83.174
817,0.27,0.92,86.85332227,57.398
818,0.374,-0.28,77.40810495,60.784
819,0.52,0.32,122.6835786,35.336
820,0.436,-1.14,141.18431,65.758
821,0.412,-0.84,94.35967481,57.576
822,0.307,0.95,119.0656358,61.115
823,0.444,-1.14,165.4955938,50.279
824,0.3,0.65,83.32713224,62.651
825,0.678,-0.09,138.2886177,13.629
826,0.562,0.06,112.9240474,35.193
827,0.478,-0.02,117.4319941,43.995
828,0.737,-3.16,87.05353986,19.498
829,0.637,-0.77,74.95255392,46.663
830,0.533,0.21,96.55759399,49.23
831,0.606,-1.25,91.78811171,43.646
832,1.026,0.06,78.48495896,6.311
833,0.702,0.02,118.2459938,41.922
834,0.464,0.47,138.2886177,67.499
835,0.319,-1.63,144.8059595,92.007
836,0.367,-0.32,88.671986,55.744
837,0.523,0.02,91.99970516,41.255
838,0.558,-0.84,59.53692985,41.114
839,0.438,-1.67,53.30726923,47.159
840,0.582,-2,175.3018242,46.423
