year,chron,stream.yel,swe.yel,tmax.lsum
736,0.71,158.0470651,53.64,
737,0.744,107.841628,72.329,
738,0.881,123.5339805,46.211,
739,0.944,44.03382737,53.819,
740,0.687,95.23277413,66.189,
741,1.023,62.05637967,44.306,
742,1.399,137.9705627,26.618,
743,1.072,153.0334734,61.289,
744,1.07,115.8207667,44.121,
745,0.798,83.13548515,78.091,
746,1.267,78.66588548,37.123,
747,1.004,96.11395214,42.918,
748,1.061,109.0903752,37.205,
749,1.405,96.11395214,27.869,
750,1.198,117.7027028,41.212,
751,1.381,78.66588548,33.202,
752,1.308,47.40088339,44.654,
753,0.704,79.94410329,85.544,
754,0.575,46.53571977,97.352,
755,0.686,42.44108084,77.695,
756,1.094,56.98839627,50.878,
757,0.864,75.47210021,51.542,
758,1.118,82.5631845,40.713,
759,1.224,172.896593,33.08,
760,0.907,171.3114676,49.095,
761,0.944,158.7765772,58.689,
762,0.914,51.73523612,56.074,
763,0.956,60.36517104,50.897,
764,0.934,89.49245778,64.324,
765,0.986,102.9879552,63.199,
766,1.367,125.2525094,30.782,
767,1.143,147.4981032,34.645,
768,1,48.84121234,61.921,
769,0.893,119.0656358,65.186,
770,0.977,78.48495896,57.56,0.51
771,0.84,55.18060217,57.965,0.02
772,1.087,66.64789473,42.246,-1.07
773,1.148,162.4749588,39.474,-0.28
774,0.93,137.02078,51.196,-0.28
775,0.737,93.71010738,66.937,-0.13
776,0.549,95.23277413,77.44,-0.92
777,0.75,87.45536074,74.307,-2.34
778,0.925,102.5147686,52.695,-0.47
779,1.138,202.2024603,36.985,-1.37
780,1.374,222.2216846,22.614,-0.66
781,1.067,95.89289619,35.737,0.39
782,0.839,97.67567823,68.645,-0.84
783,1.131,43.73070064,61.956,-0.43
784,1.233,141.5097734,48.603,-0.66
785,1.076,190.8914318,44.524,-0.92
786,1.134,213.6911004,37.188,-0.21
787,1.247,192.6577285,25.192,0.73
788,1.086,74.78016783,55.753,0.54
789,0.918,145.4743534,75.832,-0.39
790,0.856,102.5147686,55.792,0.43
791,0.869,93.92613149,66.227,0.09
792,0.903,82.75351229,50.551,0.24
793,0.791,61.06416678,72.945,0.21
794,1.001,47.72945062,50.641,1.07
795,1.175,78.66588548,45.682,1.03
796,1.098,81.24309047,46.65,1.25
797,0.81,89.49245778,62.554,0.58
798,1.447,138.2886177,27.642,0.28
799,1.02,112.4052085,55.331,0.13
800,0.935,111.1185167,66.671,0.06
801,1.068,118.7917925,54.193,-0.95
802,1.149,139.2471886,50.456,-0.66
803,0.935,113.7067995,78.271,-1.85
804,0.959,66.801534,43.039,-0.39
805,0.938,140.859595,65.313,-1.78
